"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.degree","results.nprune","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"181","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,162,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"182","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,164,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"183","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,166,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"184","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,168,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"185","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,170,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"186","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,172,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"187","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,174,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"188","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,176,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"189","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,178,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"190","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,180,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"191","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,182,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"192","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,184,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"193","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,186,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"194","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,188,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"195","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,190,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"196","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,192,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"197","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,194,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"198","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,196,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
